features,model,ordinary_cv,grouped_cv,test
all (12),Logistic Regression,0.4500388872217133,0.42573561305433644,0.4088484896107394
all (12),Random Forest,0.5263609501127012,0.3931154757450608,0.40045453178293333
all (12),XGBoost,0.549449661630601,0.3962585558083828,0.37188418546576135
match only (5),Logistic Regression,0.4360900352145565,0.4203690295594112,0.3759891686436994
match only (5),Random Forest,0.44902172746843505,0.4095310807333118,0.39030609556902035
match only (5),XGBoost,0.45203111858753936,0.41102904778421595,0.3823893602855258
other only (7),Logistic Regression,0.39981028932348295,0.37280660796617054,0.37103184466550293
other only (7),Random Forest,0.5068049934448947,0.3580083405322728,0.3722970723040018
other only (7),XGBoost,0.5321055188275111,0.36753354675544847,0.33534917673191456
