model,cv_f1_macro,test_accuracy,test_f1_macro,test_log_loss,test_spearman,best_settings
Logistic Regression,0.4362047308513728,0.3899943149516771,0.3768847976646443,1.1406641334210874,0.06149853687621309,{'logisticregression__C': 0.1}
Random Forest,0.45193174822320153,0.39681637293917,0.38542179337193305,1.1040804360148737,0.12581139150317575,"{'max_depth': 8, 'min_samples_leaf': 1, 'n_estimators': 200}"
XGBoost,0.4620282680819587,0.3905628197839682,0.3858340642654368,1.1528166177502077,0.10668437480322969,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}"
