features,model,cv_f1_macro,test_accuracy,test_f1_macro,test_spearman
all (12 numbers),Logistic Regression,0.4500388872217133,0.4189880613985219,0.4088484896107394,0.10835399546581366
all (12 numbers),Random Forest,0.5263609501127012,0.4059124502558272,0.40045453178293333,0.12689066099900453
all (12 numbers),XGBoost,0.49804569853144576,0.37805571347356454,0.37188418546576135,0.1045003859009208
match only (5),Logistic Regression,0.4360900352145565,0.38885730528709495,0.3759891686436994,0.0614811313950662
match only (5),Random Forest,0.44902172746843505,0.39965889710062535,0.39030609556902035,0.12007958478816418
match only (5),XGBoost,0.38439778697205707,0.38885730528709495,0.3823893602855258,0.1130339585641125
other only (7),Logistic Regression,0.39981028932348295,0.3803297328027288,0.37103184466550293,0.11944667224794409
other only (7),Random Forest,0.5068049934448947,0.38828880045480385,0.3722970723040018,0.08456691939970137
other only (7),XGBoost,0.42303373615771056,0.3496304718590108,0.33534917673191456,0.11048912209572093
