model,cv_accuracy,cv_f1_macro,test_accuracy,test_f1_macro,test_top3_accuracy,best_settings
Logistic Regression,0.4216666666666667,0.3813087790577784,0.4,0.351529517909879,0.6111111111111112,{'logisticregression__C': 3}
Random Forest,0.38333333333333336,0.33008200626592205,0.4022222222222222,0.34253960378778675,0.6266666666666667,{'randomforestclassifier__max_features': 'sqrt'}
XGBoost,0.3288888888888889,0.2979539270735402,0.3488888888888889,0.31922239359827054,0.5577777777777778,{'xgbclassifier__max_depth': 4}
