input,model,cv_accuracy,cv_f1_macro,test_accuracy,test_f1_macro,test_top2_accuracy
skills only,Logistic Regression,0.5191737033293296,0.4988297682037133,0.4700665188470067,0.44943798597134765,0.6452328159645233
skills only,Random Forest,0.48807168007983603,0.4618613143291242,0.43902439024390244,0.38504513166777316,0.6252771618625277
skills only,XGBoost,0.4736086569598016,0.45320474935646055,0.44124168514412415,0.4083583618654727,0.6008869179600886
"whole resume, first 15 words removed",Logistic Regression,0.6931806572581578,0.6916286105452274,0.6895787139689579,0.6758960805515042,0.8470066518847007
"whole resume, first 15 words removed",Random Forest,0.7076236656489975,0.7006440880083928,0.70509977827051,0.6929337869696961,0.8470066518847007
"whole resume, first 15 words removed",XGBoost,0.7681949106260251,0.7655432834666439,0.7450110864745011,0.7402029753906987,0.8980044345898004
