model,grouped_cv_f1,test_accuracy,test_f1_macro,test_log_loss,test_spearman,best_settings
Logistic Regression,0.4203690295594112,0.38885730528709495,0.3759891686436994,1.140973342645757,0.0614811313950662,{'logisticregression__C': 1}
Random Forest,0.4216313383924982,0.3916998294485503,0.38275033204115855,1.1049355130274627,0.10131163773647496,"{'max_depth': 5, 'min_samples_leaf': 40, 'n_estimators': 200}"
XGBoost,0.41746259840595074,0.3871517907902217,0.37945358095825465,1.1186326029222335,0.10772617803312304,"{'learning_rate': 0.03, 'max_depth': 2, 'min_child_weight': 5, 'n_estimators': 300}"
