category,skill,resumes,share_in_category,lift
ACCOUNTANT,fixed asset solutions software,1,0.009009009009009009,20.1981981981982
ACCOUNTANT,tax return filing,1,0.009009009009009009,20.1981981981982
ACCOUNTANT,advanced bookkeeping skills,1,0.009009009009009009,20.1981981981982
ACCOUNTANT,ultratax,1,0.009009009009009009,20.1981981981982
ACCOUNTANT,document manager software,1,0.009009009009009009,20.1981981981982
ACCOUNTANT,access,21,0.1891891891891892,1.5594197138314787
ACCOUNTANT,& outlook,1,0.009009009009009009,20.1981981981982
ACCOUNTANT,bank reconciliations and balancing,1,0.009009009009009009,20.1981981981982
ACCOUNTANT,asset keeper pro software,1,0.009009009009009009,20.1981981981982
ACCOUNTANT,gaap understanding,1,0.009009009009009009,20.1981981981982
ACCOUNTANT,flexible team player,1,0.009009009009009009,10.0990990990991
ACCOUNTANT,prosystem,1,0.009009009009009009,20.1981981981982
ACCOUNTANT,financial statement analysis,6,0.05405405405405406,11.017199017199017
ACCOUNTANT,microsoft word,11,0.0990990990990991,1.5322771046908976
ACCOUNTANT,quickbooks software,1,0.009009009009009009,20.1981981981982
ACCOUNTANT,excel,48,0.43243243243243246,1.8972867192045275
ACCOUNTANT,powerpoint,25,0.22522522522522523,1.6132746164695047
ACCOUNTANT,accounting and bookkeeping,1,0.009009009009009009,20.1981981981982
ACCOUNTANT,host software,1,0.009009009009009009,20.1981981981982
ACCOUNTANT,lacerte tax preparation software,1,0.009009009009009009,20.1981981981982
ACCOUNTANT,creative solutions bookkeeping software,1,0.009009009009009009,20.1981981981982
ACCOUNTANT,advanced computer skills,1,0.009009009009009009,20.1981981981982
ACCOUNTANT,works great with others,1,0.009009009009009009,20.1981981981982
ACCOUNTANT,creative problem solving skills,1,0.009009009009009009,10.0990990990991
ACCOUNTANT,grants,10,0.09009009009009009,6.12066612066612
ACCOUNTANT,financial controls,3,0.02702702702702703,15.14864864864865
ACCOUNTANT,accountant,23,0.2072072072072072,11.06091806091806
ACCOUNTANT,accounting system,14,0.12612612612612611,13.465465465465464
ACCOUNTANT,ledger,16,0.14414414414414414,11.143833488661075
ACCOUNTANT,sarbanes-oxley,5,0.04504504504504504,5.940646528881823
ACCOUNTANT,training materials,3,0.02702702702702703,3.3663663663663668
ACCOUNTANT,research,15,0.13513513513513514,1.0977281629455542
ACCOUNTANT,policies,24,0.21621621621621623,1.3850193050193051
ACCOUNTANT,view,4,0.036036036036036036,6.214830214830215
ACCOUNTANT,financial analysis,11,0.0990990990990991,5.419028784882443
ACCOUNTANT,financial reports,22,0.1981981981981982,9.660007833920877
ACCOUNTANT,procurement,7,0.06306306306306306,1.3998751226473998
ACCOUNTANT,outlook,27,0.24324324324324326,2.207900207900208
ACCOUNTANT,processes,34,0.3063063063063063,2.281524048965909
ACCOUNTANT,financial,52,0.46846846846846846,3.3556112022565694
ACCOUNTANT,sap,24,0.21621621621621623,4.252252252252252
ACCOUNTANT,peoplesoft,16,0.14414414414414414,5.386186186186186
ACCOUNTANT,gl,16,0.14414414414414414,14.050920485703093
ACCOUNTANT,macros,5,0.04504504504504504,5.049549549549549
ACCOUNTANT,word,27,0.24324324324324326,1.8486486486486489
ACCOUNTANT,invoicing,12,0.10810810810810811,4.847567567567568
ACCOUNTANT,monitors,4,0.036036036036036036,2.4482664482664482
ACCOUNTANT,financial operations,3,0.02702702702702703,6.059459459459459
ACCOUNTANT,operating systems,4,0.036036036036036036,1.3693693693693694
ACCOUNTANT,financial statements,47,0.42342342342342343,9.686890972605259
ACCOUNTANT,account reconciliation,11,0.0990990990990991,8.887207207207208
ACCOUNTANT,contracts,29,0.26126126126126126,2.7371390081670457
ACCOUNTANT,closing,31,0.27927927927927926,4.930268851528694
ACCOUNTANT,business objects,3,0.02702702702702703,3.7871621621621623
ACCOUNTANT,microsoft office,24,0.21621621621621623,1.954664341761116
ACCOUNTANT,office,27,0.24324324324324326,1.6230694980694982
ACCOUNTANT,reporting,38,0.34234234234234234,2.907316407316407
ACCOUNTANT,inventory,30,0.2702702702702703,1.7927394850471776
ACCOUNTANT,ar,15,0.13513513513513514,10.0990990990991
ACCOUNTANT,accounting,61,0.5495495495495496,5.112407012821952
ACCOUNTANT,budget,33,0.2972972972972973,1.8935810810810811
ACCOUNTANT,reconciling,19,0.17117117117117117,8.924785250366646
ACCOUNTANT,financial/ accounting,1,0.009009009009009009,20.1981981981982
ACCOUNTANT,accounts receivable,27,0.24324324324324326,6.903181662675333
ACCOUNTANT,personnel,16,0.14414414414414414,1.1794568290918654
ACCOUNTANT,accounts payable,41,0.36936936936936937,7.139018328673501
ACCOUNTANT,insurance,16,0.14414414414414414,1.8789021579719254
ACCOUNTANT,icd-9,2,0.018018018018018018,3.3663663663663668
ACCOUNTANT,finance,31,0.27927927927927926,3.7948129948129945
ACCOUNTANT,book,7,0.06306306306306306,2.8277477477477477
ACCOUNTANT,leadership skills,3,0.02702702702702703,1.553707553707554
ACCOUNTANT,cpt,2,0.018018018018018018,2.8854568854568856
ACCOUNTANT,billing,29,0.26126126126126126,3.4659630044245433
ACCOUNTANT,ms office,7,0.06306306306306306,1.3594941094941095
ACCOUNTANT,oracle,9,0.08108108108108109,1.7312741312741313
ACCOUNTANT,payroll,40,0.36036036036036034,3.5127301214257733
ACCOUNTANT,sales,37,0.3333333333333333,1.2539149888143177
ACCOUNTANT,auditing,14,0.12612612612612611,4.712912912912913
ACCOUNTANT,3d,1,0.009009009009009009,0.9180999180999181
ACCOUNTANT,senior management,9,0.08108108108108109,2.0894687791239517
ACCOUNTANT,dec,2,0.018018018018018018,3.1074151074151075
ACCOUNTANT,editing,4,0.036036036036036036,1.648832505975363
ACCOUNTANT,hr,4,0.036036036036036036,0.6846846846846847
ACCOUNTANT,banking,13,0.11711711711711711,2.854093223658441
ACCOUNTANT,financial management,8,0.07207207207207207,4.039639639639639
ACCOUNTANT,inventory control,4,0.036036036036036036,1.1379266590534196
ACCOUNTANT,macro media director,1,0.009009009009009009,20.1981981981982
ACCOUNTANT,documentation,28,0.25225225225225223,1.7840679796515757
ACCOUNTANT,credit,29,0.26126126126126126,2.8026208026208024
ACCOUNTANT,preparation of,1,0.009009009009009009,20.1981981981982
ACCOUNTANT,adobe photoshop,1,0.009009009009009009,0.44884884884884885
